date,maximum_temp,minimum_temp
724,6.7,3.5
725,3.9,0.3
726,3.2,0.9
727,3.5,-1.1
728,-1.0,-4.0
729,6.9,4.2
730,8.9,4.4
731,12.1,10.5
732,13.1,5.5
733,7.7,5.3
734,0.4,-2.9
735,8.7,3.0
736,9.3,5.9
737,9.3,5.4
738,9.9,6.3
739,11.0,6.9
740,12.9,5.9
741,5.3,2.6
742,10.2,7.5
743,7.3,2.9
744,3.4,2.0
745,10.4,5.2
746,6.2,0.6
747,4.7,1.2
748,2.1,-3.4
749,0.9,-1.2
750,-0.4,-3.5
751,2.2,0.5
752,2.3,-2.0
753,5.5,1.4
754,5.5,2.5
755,7.6,4.5
756,9.9,5.5
757,7.0,5.3
758,9.6,3.7
759,2.6,0.5
760,2.7,-0.6
761,2.9,1.7
762,3.0,0.2
763,-1.9,-4.5
764,-2.0,-6.7
765,1.9,-2.9
766,0.4,-1.9
767,4.9,1.7
768,2.1,-0.7
769,-0.1,-4.1
770,5.4,1.3
771,3.6,-0.7
772,3.4,1.6
773,4.2,3.2
774,4.5,3.1
775,6.7,2.4
776,7.3,2.2
777,6.6,4.3
778,5.6,1.0
779,9.1,6.1
780,9.2,6.7
781,5.4,3.1
782,4.0,1.8
783,4.7,2.2
784,6.0,2.7
785,5.8,2.9
786,6.1,1.1
787,11.9,6.2
788,4.6,3.3
789,7.8,5.7
790,10.2,5.4
791,4.3,1.3
792,3.6,2.5
793,5.1,3.3
794,8.3,2.9
795,9.0,7.9
796,10.0,8.8
797,10.5,6.7
798,5.6,-1.3
799,8.5,4.8
800,6.1,1.5
801,8.1,-0.3
802,5.2,2.8
803,5.1,1.7
804,4.6,1.6
805,6.0,3.8
806,5.9,-0.3
807,4.6,-2.2
808,5.4,-1.2
809,7.9,4.6
810,7.2,1.7
811,5.9,-2.4
812,8.2,5.1
813,5.2,2.8
814,4.1,-2.9
815,6.6,1.5
816,7.2,2.6
817,11.2,1.9
818,8.8,6.1
819,5.8,2.0
820,11.2,4.4
821,5.5,1.2
822,5.1,0.5
823,7.9,5.2
824,7.5,6.0
825,10.6,1.1
826,6.4,2.6
827,9.8,2.5
828,9.4,0.4
829,13.1,2.1
830,13.2,1.7
831,10.8,3.0
832,7.8,3.5
833,8.6,-0.4
834,10.9,9.0
835,9.5,7.2
836,8.5,-1.0
837,11.2,5.3
838,9.3,2.3
839,8.9,0.5
840,9.2,3.7
841,12.7,-0.1
842,13.0,2.4
843,14.1,3.2
844,13.2,2.5
845,10.9,6.1
846,7.2,-1.3
847,7.1,-3.7
848,5.5,3.0
849,7.4,3.7
850,7.3,4.3
851,8.6,-0.5
852,7.9,2.1
853,8.0,5.9
854,12.0,9.0
855,11.5,8.6
856,9.7,7.0
857,8.8,5.2
858,11.4,1.0
859,8.4,7.1
860,10.7,8.0
861,13.3,10.7
862,11.6,8.5
863,10.3,6.8
864,10.2,5.6
865,11.6,0.4
866,12.5,8.1
867,10.8,8.0
868,9.0,7.0
869,9.4,5.8
870,10.9,7.1
871,11.1,7.6
872,13.2,11.0
873,13.6,4.1
874,12.9,9.6
875,10.4,8.1
876,12.0,6.6
877,10.0,8.4
878,11.5,6.2
879,8.7,5.8
880,10.5,5.5
881,10.7,8.0
882,10.1,5.3
883,10.5,7.6
884,11.4,8.9
885,14.3,6.2
886,14.9,7.9
887,11.8,9.6
888,11.0,8.1
889,10.1,3.4
890,14.3,4.5
891,16.1,4.1
892,17.7,5.2
893,16.8,6.4
894,15.2,12.7
895,13.1,10.2
896,14.5,6.1
897,15.1,10.6
898,16.1,14.1
899,11.7,9.3
900,11.7,10.0
901,13.6,11.5
902,15.5,10.1
903,11.1,8.8
904,15.0,5.7
905,16.4,6.0
906,15.9,12.4
907,16.3,13.8
908,16.3,10.4
909,15.9,13.3
910,15.5,11.0
911,19.2,15.3
912,26.3,19.1
913,20.8,15.4
914,19.1,11.4
915,19.0,14.4
916,17.4,10.4
917,16.2,10.1
918,16.2,14.2
919,13.7,12.4
920,13.9,6.0
921,15.7,11.3
922,15.9,14.0
923,15.4,13.6
924,14.7,11.3
925,14.9,9.8
926,13.8,7.8
927,15.9,7.1
928,17.3,13.4
929,14.3,12.5
930,15.0,10.7
931,15.5,7.9
932,15.8,14.2
933,13.4,10.0
934,13.5,11.2
935,13.6,6.0
936,13.7,8.2
937,14.0,6.1
938,13.9,11.7
939,12.4,9.6
940,12.8,9.2
941,12.9,9.4
942,14.1,8.0
943,14.2,10.7
944,14.3,10.1
945,18.5,16.1
946,15.7,13.1
947,15.2,12.5
948,15.8,14.1
949,17.1,9.5
950,17.2,6.3
951,16.8,13.7
952,16.0,14.3
953,14.7,12.4
954,16.6,5.7
955,19.6,8.0
956,16.5,13.8
957,14.3,8.1
958,16.1,6.3
959,15.8,5.1
960,12.4,6.2
961,16.8,11.8
962,16.3,14.1
963,19.0,16.0
964,16.9,14.3
965,21.5,15.6
966,15.0,12.1
967,14.5,11.2
968,16.4,13.0
969,15.1,10.7
970,14.8,11.7
971,16.9,13.2
972,16.3,11.7
973,12.3,6.1
974,13.7,8.8
975,14.1,9.3
976,12.3,6.6
977,13.2,6.6
978,13.5,7.7
979,11.6,2.6
980,12.9,3.9
981,13.8,6.9
982,13.8,8.6
983,15.7,9.9
984,16.4,10.3
985,15.4,12.6
986,12.9,9.7
987,11.6,5.4
988,13.1,10.9
989,12.0,4.2
990,9.9,2.5
991,12.2,8.3
992,13.9,6.9
993,14.2,9.4
994,14.0,12.4
995,10.8,5.8
996,12.2,8.6
997,13.1,9.4
998,12.2,10.2
999,12.5,10.2
1000,14.3,5.4
1001,13.7,4.9
1002,15.4,10.4
1003,11.7,2.9
1004,10.5,1.8
1005,9.6,0.0
1006,10.1,6.2
1007,10.1,5.1
1008,12.1,5.6
1009,17.0,15.2
1010,13.7,11.1
1011,11.4,3.4
1012,11.7,6.3
1013,12.3,9.7
1014,11.2,4.4
1015,9.9,7.6
1016,10.5,5.7
1017,9.5,0.4
1018,5.1,-0.5
1019,7.5,1.0
1020,7.3,4.0
1021,9.2,5.4
1022,9.2,8.1
1023,10.2,4.8
1024,14.1,11.0
1025,14.1,10.2
1026,11.7,6.7
1027,13.2,8.0
